Ticker,Des_en,Unit_en,Des_de,Unit_de
OUTFGAF Index,Philadelphia Fed Business Survey,index,Philadelphia Fed Unternehmensumfrage,Index
EMPRGBCI Index,Empire Manufacturing,index,Empire State Umfrage,Index
CHPMINDX Index,Chicago PMI,index,Chicago Einkaufsmanager-Index,Index
#MPMIUSMA Index,Markit Manufacturing PMI,index,Markit Einkaufsmanager-Index Industrie,Index
#MPMIUSSA Index,Markit Services PMI,index,Markit Einkaufsmanager-Index Dienstleister,Index
NAMPPMI Index,ISM Manufacturing,index,ISM Einkaufsmanager-Index Industrie,Index
NAPMNMI Index,ISM Non-Manufacturing,index,ISM Einkaufsmanger-Index Dienstleister,Index
DGNOCHNG Index,Durable Goods Orders,%mom,Auftragseingänge langleb. Güter,% Vm.
DGNOXTCH Index,Durables Ex Transportation,%mom,Auftragseingänge ohne Fahrzeuge,% Vm.
MWINCHNG Index,Wholesale Inventories,%mom,Großhandel Lagerbestände,% Vm.
IP CHNG Index,Industrial Production,%mom,Industrieproduktion,% Vm.
INJCJC Index,Initial Jobless Claims,k,Ersatnträge auf Arbeitslosenhilfe,Tsd.
ADP CHNG Index,ADP Employment Chng.,k,ADP Änderung der Beschäftigten,Tsd.
NFP TCH Index,Change in Nonfarm Payrolls,k,Änderung der Beschäftigung (ohne Landw.),Tsd.
USURTOT Index,Unemployment Rate,%,Arbeitslosenquote,%
AHE YOY% Index,Average Hourly Earning,%yoy,Durchschn. Stundenverdienst,% Vj.
PRUSTOT Index,Labor Force Participation Rate,%,Partizipationsrate,%
